arm,method,scenario,receiver_idx,receiver_label,days,accuracy_pct,correct,total
A5,A3+协方差随机方向tangent,leo_rain_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.49583333333334,16919,24000
A6,A3+分支选择性tangent,clean,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",81.37083333333334,19529,24000
A6,A3+分支选择性tangent,clean,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",74.03333333333333,17768,24000
A6,A3+分支选择性tangent,clean,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",92.05,22092,24000
A6,A3+分支选择性tangent,clean,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",69.0625,16575,24000
A6,A3+分支选择性tangent,clean,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",80.30833333333334,19274,24000
A6,A3+分支选择性tangent,clean,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",90.975,21834,24000
A6,A3+分支选择性tangent,clean,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",77.425,18582,24000
A6,A3+分支选择性tangent,leo_clear_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",77.775,18666,24000
A6,A3+分支选择性tangent,leo_clear_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.92916666666667,15103,24000
A6,A3+分支选择性tangent,leo_clear_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",85.08333333333333,20420,24000
A6,A3+分支选择性tangent,leo_clear_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.74583333333333,15059,24000
A6,A3+分支选择性tangent,leo_clear_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.40833333333333,16898,24000
A6,A3+分支选择性tangent,leo_clear_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",81.92083333333333,19661,24000
A6,A3+分支选择性tangent,leo_clear_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.30416666666666,17113,24000
A6,A3+分支选择性tangent,leo_low_elev_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",75.1,18024,24000
A6,A3+分支选择性tangent,leo_low_elev_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",61.38333333333333,14732,24000
A6,A3+分支选择性tangent,leo_low_elev_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",83.675,20082,24000
A6,A3+分支选择性tangent,leo_low_elev_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.020833333333336,14885,24000
A6,A3+分支选择性tangent,leo_low_elev_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.45416666666667,16909,24000
A6,A3+分支选择性tangent,leo_low_elev_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",79.65416666666667,19117,24000
A6,A3+分支选择性tangent,leo_low_elev_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.45416666666667,16909,24000
A6,A3+分支选择性tangent,leo_rain_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",75.24583333333334,18059,24000
A6,A3+分支选择性tangent,leo_rain_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.025,14886,24000
A6,A3+分支选择性tangent,leo_rain_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",83.72916666666667,20095,24000
A6,A3+分支选择性tangent,leo_rain_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.36666666666667,14968,24000
A6,A3+分支选择性tangent,leo_rain_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.99166666666666,17038,24000
A6,A3+分支选择性tangent,leo_rain_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",78.82916666666667,18919,24000
A6,A3+分支选择性tangent,leo_rain_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.19583333333334,17087,24000
A7,A3+tangent+fingerprint keep,clean,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",80.67083333333333,19361,24000
A7,A3+tangent+fingerprint keep,clean,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",78.34166666666667,18802,24000
A7,A3+tangent+fingerprint keep,clean,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",91.99583333333334,22079,24000
A7,A3+tangent+fingerprint keep,clean,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",69.67916666666666,16723,24000
A7,A3+tangent+fingerprint keep,clean,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",82.7125,19851,24000
A7,A3+tangent+fingerprint keep,clean,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",91.14166666666667,21874,24000
A7,A3+tangent+fingerprint keep,clean,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",76.77083333333333,18425,24000
A7,A3+tangent+fingerprint keep,leo_clear_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",77.825,18678,24000
A7,A3+tangent+fingerprint keep,leo_clear_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",64.3875,15453,24000
A7,A3+tangent+fingerprint keep,leo_clear_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",84.375,20250,24000
A7,A3+tangent+fingerprint keep,leo_clear_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",63.016666666666666,15124,24000
A7,A3+tangent+fingerprint keep,leo_clear_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.325,17118,24000
A7,A3+tangent+fingerprint keep,leo_clear_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",82.1625,19719,24000
A7,A3+tangent+fingerprint keep,leo_clear_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.55833333333334,17174,24000
A7,A3+tangent+fingerprint keep,leo_low_elev_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",75.20833333333333,18050,24000
A7,A3+tangent+fingerprint keep,leo_low_elev_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.36666666666667,14968,24000
A7,A3+tangent+fingerprint keep,leo_low_elev_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",82.8125,19875,24000
A7,A3+tangent+fingerprint keep,leo_low_elev_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.5375,15009,24000
