candidate,scene,group,value,rows,correct,closed_accuracy,accepted,coverage,accepted_correct,accepted_accuracy
A3,clean,RX_TX,9:1,4000,1874,0.4685,3548,0.887,1640,0.46223224351747466
A3,clean,RX_TX,9:2,4000,2510,0.6275,2746,0.6865,2243,0.8168244719592134
A3,clean,RX_TX,9:3,4000,3947,0.98675,3949,0.98725,3929,0.9949354266903013
A3,clean,RX_TX,9:4,4000,3998,0.9995,4000,1.0,3998,0.9995
A3,clean,RX_TX,9:5,4000,2821,0.70525,2631,0.65775,2181,0.8289623717217788
A3,clean,RX_TX,10:0,4000,3988,0.997,3990,0.9975,3984,0.9984962406015038
A3,clean,RX_TX,10:1,4000,2594,0.6485,3437,0.85925,2279,0.6630782659295897
A3,clean,RX_TX,10:2,4000,2989,0.74725,3485,0.87125,2745,0.787661406025825
A3,clean,RX_TX,10:3,4000,1480,0.37,3300,0.825,1275,0.38636363636363635
A3,clean,RX_TX,10:4,4000,3999,0.99975,4000,1.0,3999,0.99975
A3,clean,RX_TX,10:5,4000,3988,0.997,3987,0.99675,3984,0.999247554552295
A3,clean,RX_TX,11:0,4000,3507,0.87675,3846,0.9615,3432,0.8923556942277691
A3,clean,RX_TX,11:1,4000,1988,0.497,3569,0.89225,1762,0.49369571308489774
A3,clean,RX_TX,11:2,4000,1217,0.30425,3079,0.76975,1009,0.32770379993504384
A3,clean,RX_TX,11:3,4000,3967,0.99175,3989,0.99725,3966,0.9942341438957132
A3,clean,RX_TX,11:4,4000,3999,0.99975,4000,1.0,3999,0.99975
A3,clean,RX_TX,11:5,4000,3994,0.9985,3994,0.9985,3992,0.99949924887331
A4,clean,all,all,168000,128217,0.7631964285714286,153922,0.9162023809523809,123213,0.8004898584997596
A4,clean,TX,0,28000,25322,0.9043571428571429,27070,0.9667857142857142,24903,0.9199482822312524
A4,clean,TX,1,28000,14748,0.5267142857142857,24941,0.89075,13014,0.5217914277695361
A4,clean,TX,2,28000,16324,0.583,21679,0.77425,14937,0.6890077955625259
A4,clean,TX,3,28000,18103,0.6465357142857143,26309,0.9396071428571429,17576,0.6680603595727698
A4,clean,TX,4,28000,27957,0.9984642857142857,27948,0.9981428571428571,27927,0.9992486045513096
A4,clean,TX,5,28000,25763,0.9201071428571429,25975,0.9276785714285715,24856,0.9569201154956689
A4,clean,RX,0,24000,19587,0.816125,22799,0.9499583333333333,19112,0.8382823808061757
A4,clean,RX,2,24000,15074,0.6280833333333333,21508,0.8961666666666667,14314,0.6655198065835968
A4,clean,RX,5,24000,20279,0.8449583333333334,22317,0.929875,19511,0.8742662544248779
A4,clean,RX,7,24000,16978,0.7074166666666667,21803,0.9084583333333334,16447,0.7543457322386827
A4,clean,RX,9,24000,18589,0.7745416666666667,20820,0.8675,17404,0.8359269932756964
