scenario,new_class_count,state,class_role,class_id,accuracy,nll,query_rows
leo_low_elev_weak,1,DA1_REG1,old,4,0.7,1.2111564535250687,20
leo_low_elev_weak,1,DA1_REG1,old,5,0.85,0.7175971260479093,20
leo_low_elev_weak,1,DA1_REG1,new,6,1.0,0.8698385732734506,20
leo_low_elev_weak,2,DA0_REG0,old,0,0.9,0.9118016186774346,20
leo_low_elev_weak,2,DA0_REG0,old,1,0.9,1.2537459335598444,20
leo_low_elev_weak,2,DA0_REG0,old,2,0.95,0.842301310401013,20
leo_low_elev_weak,2,DA0_REG0,old,3,0.9,0.8552670792155587,20
leo_low_elev_weak,2,DA0_REG0,old,4,0.9,0.972052035192519,20
leo_low_elev_weak,2,DA0_REG0,old,5,0.9,0.646847822840164,20
leo_low_elev_weak,2,DA1_REG0,old,0,0.95,0.7707205403675241,20
leo_low_elev_weak,2,DA1_REG0,old,1,0.8,1.2286274311100958,20
leo_low_elev_weak,2,DA1_REG0,old,2,1.0,0.8608167861761629,20
leo_low_elev_weak,2,DA1_REG0,old,3,0.9,0.9122320068349955,20
leo_low_elev_weak,2,DA1_REG0,old,4,0.95,0.8780803318582526,20
leo_low_elev_weak,2,DA1_REG0,old,5,0.9,0.6505594631777147,20
leo_low_elev_weak,2,DA0_REG1,old,0,0.8,1.0379352350889668,20
leo_low_elev_weak,2,DA0_REG1,old,1,0.85,1.3858388294692385,20
leo_low_elev_weak,2,DA0_REG1,old,2,0.95,1.0092046948251632,20
leo_low_elev_weak,2,DA0_REG1,old,3,0.9,1.0261839831443882,20
leo_low_elev_weak,2,DA0_REG1,old,4,0.7,1.2554492113645566,20
leo_low_elev_weak,2,DA0_REG1,old,5,0.85,0.8030299602067672,20
leo_low_elev_weak,2,DA0_REG1,new,6,1.0,0.9464788917687542,20
leo_low_elev_weak,2,DA0_REG1,new,7,0.85,0.9841488272882006,20
leo_low_elev_weak,2,DA1_REG1,old,0,0.8,1.037997108546305,20
leo_low_elev_weak,2,DA1_REG1,old,1,0.85,1.385073082456101,20
leo_low_elev_weak,2,DA1_REG1,old,2,0.95,1.0089199657568346,20
leo_low_elev_weak,2,DA1_REG1,old,3,0.9,1.023939258164594,20
leo_low_elev_weak,2,DA1_REG1,old,4,0.7,1.2519595216617478,20
leo_low_elev_weak,2,DA1_REG1,old,5,0.85,0.797978178351767,20
leo_low_elev_weak,2,DA1_REG1,new,6,1.0,0.9449398394440106,20
leo_low_elev_weak,2,DA1_REG1,new,7,0.85,0.9811765169660027,20
leo_low_elev_weak,3,DA0_REG0,old,0,0.9,0.9118016186774346,20
leo_low_elev_weak,3,DA0_REG0,old,1,0.9,1.2537459335598444,20
