row,epoch,family,metric,value
B0,7,LOSS-META-SSL,proto,0.0
B0,7,LOSS-META-SSL,dom,0.0
B0,7,LOSS-META-SSL,adv,0.0
B0,7,LOSS-META-SSL,coverage,0.0
B0,7,LOSS-META-SSL,accepted,0.0
B0,7,LOSS-META-SSL,proto_agree,nan
B0,7,LOSS-META-SSL,teacher_conf,nan
B0,7,LOSS-META-SSL,active_proto,0.0
B0,7,LOSS-META-SSL-W,tx,0.0
B0,7,LOSS-META-SSL-W,proto,0.0
B0,7,LOSS-META-SSL-W,dom,0.0
B0,7,LOSS-META-SSL-W,adv,0.0
B0,7,LOSS-WEIGHT,dom,1.0
B0,7,LOSS-WEIGHT,adv,0.7
B0,7,LOSS-WEIGHT,orth,0.5
B0,7,LOSS-WEIGHT,cons,0.0
B0,7,LOSS-WEIGHT,group_ce,0.5
