method,scene,bin,count,mean_confidence,accuracy
H2,leo_low_elev_weak,5,29733,0.36371687054634094,0.18518145382404327
H2,leo_low_elev_weak,6,14634,0.4300754964351654,0.33921006321907043
H2,leo_low_elev_weak,7,10714,0.49920955300331116,0.4517453908920288
H2,leo_low_elev_weak,8,9623,0.5660908222198486,0.5151200294494629
H2,leo_low_elev_weak,9,9051,0.6332747936248779,0.5640260577201843
H2,leo_low_elev_weak,10,9199,0.6998398900032043,0.6000652313232422
H2,leo_low_elev_weak,11,9572,0.7668639421463013,0.6416631937026978
H2,leo_low_elev_weak,12,10605,0.83418208360672,0.6776992082595825
H2,leo_low_elev_weak,13,12836,0.9017147421836853,0.7183701992034912
H2,leo_low_elev_weak,14,32339,0.9803494215011597,0.8810724020004272
H2,leo_rain_weak,0,0,,
H2,leo_rain_weak,1,0,,
H2,leo_rain_weak,2,0,,
H2,leo_rain_weak,3,322,0.2602711617946625,0.22049689292907715
H2,leo_rain_weak,4,19370,0.3085682988166809,0.21652039885520935
H2,leo_rain_weak,5,30320,0.3638555705547333,0.18611477315425873
H2,leo_rain_weak,6,14543,0.43037936091423035,0.3457333445549011
H2,leo_rain_weak,7,10518,0.4993898570537567,0.46596312522888184
H2,leo_rain_weak,8,9379,0.56612628698349,0.5263887643814087
H2,leo_rain_weak,9,9211,0.6329168081283569,0.565085232257843
H2,leo_rain_weak,10,9030,0.7002121806144714,0.608194887638092
H2,leo_rain_weak,11,9398,0.7672524452209473,0.6514151692390442
H2,leo_rain_weak,12,10511,0.8339706063270569,0.6895633339881897
H2,leo_rain_weak,13,12806,0.9013930559158325,0.7166953086853027
H2,leo_rain_weak,14,32592,0.9805102348327637,0.883744478225708
H3,clean,0,0,,
H3,clean,1,0,,
H3,clean,2,0,,
H3,clean,3,1,0.2661159634590149,0.0
H3,clean,4,142,0.3145112097263336,0.3380281627178192
H3,clean,5,2156,0.3779993951320648,0.23423005640506744
H3,clean,6,8116,0.43959611654281616,0.24531789124011993
H3,clean,7,12038,0.5002276301383972,0.33327794075012207
H3,clean,8,10519,0.5672627091407776,0.39633044600486755
H3,clean,9,6710,0.6301208138465881,0.517436683177948
H3,clean,10,5764,0.6999370455741882,0.6044413447380066
H3,clean,11,5928,0.767181932926178,0.6125168800354004
H3,clean,12,6997,0.8343420028686523,0.6075460910797119
H3,clean,13,10577,0.9030546545982361,0.6096246838569641
H3,clean,14,99052,0.9924739599227905,0.8752675652503967
H3,leo_clear_weak,0,0,,
H3,leo_clear_weak,1,0,,
