method,scene,true_class,predicted_class,count,true_class_count,row_rate
H2,leo_rain_weak,2,4,13525,28000,0.48303571343421936
H2,leo_rain_weak,2,5,2082,28000,0.07435714453458786
H2,leo_rain_weak,3,0,709,28000,0.02532142773270607
H2,leo_rain_weak,3,1,2917,28000,0.10417857021093369
H2,leo_rain_weak,3,2,471,28000,0.016821429133415222
H2,leo_rain_weak,3,3,17909,28000,0.6396071314811707
H2,leo_rain_weak,3,4,5865,28000,0.20946428179740906
H2,leo_rain_weak,3,5,129,28000,0.004607142880558968
H2,leo_rain_weak,4,0,1,28000,3.571428533177823e-05
H2,leo_rain_weak,4,1,1474,28000,0.052642855793237686
H2,leo_rain_weak,4,2,53,28000,0.0018928571371361613
H2,leo_rain_weak,4,3,3389,28000,0.12103571742773056
H2,leo_rain_weak,4,4,23071,28000,0.8239642977714539
H2,leo_rain_weak,4,5,12,28000,0.00042857142398133874
H2,leo_rain_weak,5,0,3,28000,0.00010714285599533468
H2,leo_rain_weak,5,1,39,28000,0.0013928571715950966
H2,leo_rain_weak,5,2,281,28000,0.010035714134573936
H2,leo_rain_weak,5,3,28,28000,0.0010000000474974513
H2,leo_rain_weak,5,4,5357,28000,0.19132143259048462
H2,leo_rain_weak,5,5,22292,28000,0.7961428761482239
H3,clean,0,0,23203,28000,0.828678548336029
H3,clean,0,1,75,28000,0.0026785715017467737
H3,clean,0,2,145,28000,0.005178571213036776
H3,clean,0,3,4566,28000,0.1630714237689972
H3,clean,0,4,8,28000,0.0002857142826542258
H3,clean,0,5,3,28000,0.00010714285599533468
H3,clean,1,0,190,28000,0.006785714067518711
H3,clean,1,1,8788,28000,0.31385713815689087
H3,clean,1,2,14,28000,0.0005000000237487257
H3,clean,1,3,18985,28000,0.6780357360839844
H3,clean,1,4,17,28000,0.0006071428651921451
H3,clean,1,5,6,28000,0.00021428571199066937
H3,clean,2,0,161,28000,0.005750000011175871
H3,clean,2,1,5,28000,0.00017857142665889114
H3,clean,2,2,12516,28000,0.44699999690055847
H3,clean,2,3,13334,28000,0.47621428966522217
H3,clean,2,4,21,28000,0.000750000006519258
H3,clean,2,5,1963,28000,0.07010713964700699
H3,clean,3,0,1206,28000,0.043071430176496506
H3,clean,3,1,4841,28000,0.17289285361766815
H3,clean,3,2,15,28000,0.0005357142654247582
H3,clean,3,3,21916,28000,0.782714307308197
H3,clean,3,4,10,28000,0.0003571428533177823
H3,clean,3,5,12,28000,0.00042857142398133874
H3,clean,4,0,3,28000,0.00010714285599533468
H3,clean,4,1,11,28000,0.00039285715320147574
