run,row,epoch,kind,scenario,class,accuracy_pct
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,clean,4,99.59642857142858
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,clean,5,87.56428571428572
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,leo_clear_weak,0,82.6
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,leo_clear_weak,1,33.35
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,leo_clear_weak,2,60.49285714285715
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,leo_clear_weak,3,60.46071428571429
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,leo_clear_weak,4,96.06071428571428
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,leo_clear_weak,5,80.55714285714286
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,leo_low_elev_weak,0,79.75
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_FAST_SEQUENTIAL,200,final,leo_low_elev_weak,1,32.24285714285715
