variant,scene,true_tx,predicted_tx,count
Ux,leo_rain_weak,2,5,6401
Ux,leo_rain_weak,3,0,6036
Ux,leo_rain_weak,3,1,5403
Ux,leo_rain_weak,3,2,436
Ux,leo_rain_weak,3,3,20419
Ux,leo_rain_weak,3,4,354
Ux,leo_rain_weak,3,5,352
Ux,leo_rain_weak,4,0,341
Ux,leo_rain_weak,4,1,2888
Ux,leo_rain_weak,4,2,76
Ux,leo_rain_weak,4,3,6080
Ux,leo_rain_weak,4,4,23384
Ux,leo_rain_weak,4,5,231
Ux,leo_rain_weak,5,0,190
Ux,leo_rain_weak,5,1,261
Ux,leo_rain_weak,5,2,113
Ux,leo_rain_weak,5,3,32
Ux,leo_rain_weak,5,4,1669
Ux,leo_rain_weak,5,5,30735
Ux_normalized,clean,0,0,31591
Ux_normalized,clean,0,1,140
Ux_normalized,clean,0,2,390
Ux_normalized,clean,0,3,795
Ux_normalized,clean,0,4,47
Ux_normalized,clean,0,5,37
Ux_normalized,clean,1,0,820
Ux_normalized,clean,1,1,17286
Ux_normalized,clean,1,2,43
Ux_normalized,clean,1,3,14706
Ux_normalized,clean,1,4,84
Ux_normalized,clean,1,5,61
Ux_normalized,clean,2,0,2284
Ux_normalized,clean,2,1,452
Ux_normalized,clean,2,2,23314
Ux_normalized,clean,2,3,2048
Ux_normalized,clean,2,4,217
Ux_normalized,clean,2,5,4685
Ux_normalized,clean,3,0,3380
Ux_normalized,clean,3,1,6092
Ux_normalized,clean,3,2,326
Ux_normalized,clean,3,3,23004
Ux_normalized,clean,3,4,103
