arm,adapter_epoch,resource_tier,receiver,seed,k_shot,old_before,old_acc,seen_new_acc,H_old_new,average_forgetting,old_to_seen_new_rate,seen_new_to_old_rate,min_old_class_acc,min_seen_new_class_acc,run_dir
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713101,5,0.8944444444444445,0.8916666666666666,0.725,0.7996073298429319,0.002777777777777768,0.022222222222222223,0.2333333333333333,0.7666666666666667,0.5,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713101\k_5\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713102,1,0.8083333333333332,0.7611111111111111,0.7916666666666666,0.7752983312983313,0.0472222222222222,0.07500000000000001,0.16666666666666666,0.48333333333333334,0.5833333333333334,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713102\k_1\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713102,10,0.9,0.8888888888888888,0.85,0.8687800591934886,0.011111111111111146,0.016666666666666666,0.1416666666666667,0.7,0.7166666666666667,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713102\k_10\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713102,2,0.875,0.8472222222222222,0.7583333333333333,0.8002531968622395,0.02777777777777779,0.036111111111111115,0.21666666666666667,0.5333333333333333,0.5166666666666667,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713102\k_2\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713102,20,0.9027777777777777,0.9,0.875,0.8873102871668569,0.002777777777777768,0.005555555555555556,0.11666666666666665,0.7,0.7666666666666667,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713102\k_20\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713102,5,0.8972222222222221,0.8861111111111111,0.7999999999999999,0.8388815566835871,0.011111111111111108,0.019444444444444445,0.15833333333333333,0.6833333333333333,0.6,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713102\k_5\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713103,1,0.8833333333333333,0.8333333333333334,0.6666666666666666,0.7348569759808465,0.05000000000000001,0.05555555555555556,0.26666666666666666,0.6666666666666666,0.4,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713103\k_1\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713103,10,0.8972222222222221,0.8916666666666666,0.9249999999999999,0.9074129928868628,0.005555555555555573,0.005555555555555556,0.049999999999999996,0.7166666666666667,0.8666666666666667,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713103\k_10\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713103,2,0.8916666666666666,0.8333333333333334,0.8083333333333332,0.8192673898613004,0.05833333333333335,0.06388888888888888,0.15833333333333333,0.6166666666666667,0.6833333333333333,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713103\k_2\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713103,20,0.9166666666666666,0.9111111111111111,0.9416666666666668,0.9254275859713826,0.005555555555555573,0.005555555555555556,0.049999999999999996,0.7666666666666667,0.8833333333333333,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713103\k_20\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713103,5,0.8916666666666666,0.8777777777777778,0.8333333333333334,0.8534853128976283,0.013888888888888914,0.013888888888888888,0.1416666666666667,0.6166666666666667,0.7,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713103\k_5\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713104,1,0.7777777777777777,0.7166666666666667,0.3916666666666666,0.50235531898914,0.06111111111111115,0.08333333333333333,0.4583333333333334,0.16666666666666666,0.03333333333333333,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713104\k_1\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,7-14,713104,10,0.9055555555555556,0.8972222222222221,0.9166666666666666,0.9068222178503508,0.00833333333333334,0.011111111111111112,0.06666666666666667,0.7833333333333333,0.8333333333333334,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_7-14\seed_713104\k_10\cvs_qknnv42
